model,param,window,lag,PACF
PIN,pin,120,2,0.1644252512464246
PIN,pin,120,3,0.07448159222652566
PIN,pin,120,4,0.03284123630454605
PIN,pin,120,5,0.028705519607147317
HPIN,pin,120,1,0.9677108785435847
HPIN,pin,120,2,0.17120275629664786
HPIN,pin,120,3,0.05319268338299937
HPIN,pin,120,4,0.036387487709547174
HPIN,pin,120,5,0.028442384331286326
PIN,alpha,120,1,0.9706928164702519
PIN,alpha,120,2,0.1859040897657856
PIN,alpha,120,3,0.0649299919345006
PIN,alpha,120,4,0.03108911274514035
PIN,alpha,120,5,0.012992523737471852
HPIN,alpha,120,1,0.9710419294107495
HPIN,alpha,120,2,0.13364736519811976
HPIN,alpha,120,3,0.04375564388145563
HPIN,alpha,120,4,0.03314447465510772
HPIN,alpha,120,5,0.012457655818087084
PIN,delta,120,1,0.9417401647571135
PIN,delta,120,2,0.23606078814456916
PIN,delta,120,3,0.14290906968795822
PIN,delta,120,4,0.028899766788914052
PIN,delta,120,5,0.03946273015372628
HPIN,delta,120,1,0.9028027968840096
HPIN,delta,120,2,0.10101046144559296
HPIN,delta,120,3,0.09726631940500921
HPIN,delta,120,4,0.026494430819889437
HPIN,delta,120,5,0.004282828992428147
PIN,epsilon_b,120,1,0.9505006242335513
PIN,epsilon_b,120,2,0.2180620283997888
PIN,epsilon_b,120,3,0.13965590278904122
PIN,epsilon_b,120,4,0.036714725434414765
PIN,epsilon_b,120,5,0.05671214125822073
HPIN,epsilon_b,120,1,0.9390200638962135
HPIN,epsilon_b,120,2,0.1144143093109963
HPIN,epsilon_b,120,3,0.09194753057065266
HPIN,epsilon_b,120,4,0.02777486944963209
HPIN,epsilon_b,120,5,-0.002312226427995049
PIN,epsilon_s,120,1,0.9492969200331318
PIN,epsilon_s,120,2,0.2171351919601336
PIN,epsilon_s,120,3,0.1592900717962906
PIN,epsilon_s,120,4,0.022458315362774588
PIN,epsilon_s,120,5,0.03631417962016604
HPIN,epsilon_s,120,1,0.9557657382254253
HPIN,epsilon_s,120,2,0.10544570489185716
HPIN,epsilon_s,120,3,0.08777987956559015
HPIN,epsilon_s,120,4,0.019559046173248808
HPIN,epsilon_s,120,5,0.016087611310885604
PIN,mu,120,1,0.9830687565101623
PIN,mu,120,2,0.1395310429857326
PIN,mu,120,3,0.033799537082696764
PIN,mu,120,4,0.003379506499030024
PIN,mu,120,5,0.001603578855804809
HPIN,mu,120,1,0.9849253859899798
HPIN,mu,120,2,0.05886723541135203
HPIN,mu,120,3,0.034194103882253454
HPIN,mu,120,4,0.0145699484186964
HPIN,mu,120,5,0.006856477598010507
PIN,pin,150,1,0.9754962043471818
PIN,pin,150,2,0.14584046579518478
PIN,pin,150,3,0.06382558208598302
PIN,pin,150,4,0.04313690427615346
PIN,pin,150,5,0.035066151370775185
HPIN,pin,150,1,0.9690737646270055
HPIN,pin,150,2,0.2250196481833379
HPIN,pin,150,3,0.053150768069562614
HPIN,pin,150,4,0.02105267600876023
HPIN,pin,150,5,0.048282170664770384
PIN,alpha,150,1,0.9775865157800663
PIN,alpha,150,2,0.13042110284212832
PIN,alpha,150,3,0.06353525810044598
PIN,alpha,150,4,0.03758983144227395
PIN,alpha,150,5,0.04358352499507081
HPIN,alpha,150,1,0.9729508466505995
HPIN,alpha,150,2,0.22407495785802212
HPIN,alpha,150,3,0.03302382255211177
HPIN,alpha,150,4,0.01974169608150631
HPIN,alpha,150,5,0.050447150235861375
PIN,delta,150,1,0.9305128259121378
PIN,delta,150,2,0.2552542749494825
PIN,delta,150,3,0.10735891815915848
PIN,delta,150,4,0.05545857741212012
PIN,delta,150,5,0.02917199305941319
HPIN,delta,150,1,0.9075067524998828
HPIN,delta,150,2,0.11238091225728171
HPIN,delta,150,3,0.08078193440324441
HPIN,delta,150,4,0.08887954374634376
HPIN,delta,150,5,0.06352793736401614
PIN,epsilon_b,150,1,0.9433426969086148
PIN,epsilon_b,150,2,0.24925973787040745
PIN,epsilon_b,150,3,0.1042225662712499
PIN,epsilon_b,150,4,0.055480361407435175
PIN,epsilon_b,150,5,0.033540124736542276
HPIN,epsilon_b,150,1,0.9410017674640999
HPIN,epsilon_b,150,2,0.10851165883688427
HPIN,epsilon_b,150,3,0.08827773384281237
HPIN,epsilon_b,150,4,0.06327772334064632
HPIN,epsilon_b,150,5,0.05847848187105815
PIN,epsilon_s,150,1,0.939908745866922
PIN,epsilon_s,150,2,0.24461306953910092
PIN,epsilon_s,150,3,0.10736656371090245
PIN,epsilon_s,150,4,0.06613963821162035
PIN,epsilon_s,150,5,0.027066036274599824
HPIN,epsilon_s,150,1,0.9568261523393535
HPIN,epsilon_s,150,2,0.10594034787395405
HPIN,epsilon_s,150,3,0.0714427199369263
HPIN,epsilon_s,150,4,0.09612938471139512
HPIN,epsilon_s,150,5,0.058860622382541555
