,persistence_asymmetry,switch_rate,spectral_gap,transition_entropy
160,0.15330426759051283,0.5823169338282859,0.9999999999999999,0.8831179735384089
161,0.16001346491834645,0.576804979955163,0.9999999999999999,0.8748777197317517
162,0.16000492727093488,0.5768075125359717,1.0,0.8748822508500242
163,0.15997855417366524,0.5768026753342522,1.0,0.8748792117089226
164,0.1600150654164717,0.5767915089610304,1.0,0.8748593825829034
165,0.1599842511055,0.5768006680698015,1.0,0.8748757613430688
166,0.18664038527754512,0.5809844066577305,0.9999999999999999,0.8769495962371302
167,0.1933287088589556,0.5839210984382761,0.9999999999999999,0.8801010526416984
168,0.18666514888254512,0.5809758604027452,1.0,0.8769342985481522
169,0.17334341375749157,0.5833721519869646,1.0,0.8820274308081554
170,0.17331909722627323,0.5833774060128097,1.0,0.8820377645836752
171,0.17999026935433085,0.5863997143218007,1.0,0.8853134453691002
172,0.17998802217021953,0.5864046574793217,1.0,0.8853205315475625
173,0.18000085620336476,0.5863960363454095,0.9999999999999999,0.8853070251849725
174,0.17332663287104377,0.583373917259959,0.9999999999999999,0.8820320235798583
175,0.1666483792578367,0.5801782369321233,1.0,0.87856014514491
176,0.16666961894649235,0.5801846160476569,1.0,0.8785660026958311
177,0.16001849581797264,0.5855983547547218,1.0,0.8867134629899371
178,0.15332993728714137,0.5908438981726938,1.0,0.8945283907824454
179,0.15334360149476067,0.5908480920242378,0.9999999999999999,0.8945325043347135
180,0.1466560249456924,0.5959147034190586,1.0,0.9020066145388268
181,0.1466709889198934,0.5959061123884252,1.0,0.9019936574499423
182,0.1333466609328244,0.5977756716958558,0.9999999999999999,0.9057535472158201
183,0.1266853156676923,0.5945724288575516,1.0,0.9021516730299572
184,0.11334779148490792,0.5961805896062784,1.0,0.9054040646768108
185,0.10665940174918404,0.6009813837768692,1.0,0.9121496405147169
186,0.09998081221945723,0.5975958291976471,1.0,0.9082642257463521
187,0.07998559463875798,0.59519499631028,1.0,0.9065163706203717
188,0.08001061068798265,0.5951934449017774,1.0,0.9065128831284709
189,0.0866774654429899,0.5988419502604639,1.0,0.9107616681462473
190,0.08666953864341936,0.5988439664390719,1.0,0.9107647448165407
191,0.07998366364008455,0.6034579387844058,1.0,0.9170565695296687
192,0.07332380433187471,0.5999015414704345,1.0,0.9128864018462303
193,0.07332413244996933,0.5999072401433795,1.0,0.9128936327001381
194,0.08001765439297634,0.6034659372022388,1.0,0.9170648963734223
195,0.08001243298956875,0.6034650107435853,1.0,0.917064003125663
196,0.07998242824853949,0.6034707327181212,1.0,0.9170729725589659
197,0.08665648296295225,0.6068438727656404,1.0,0.9210115216139401
198,0.08666997887768485,0.5988382063711535,1.0,0.9107573468495352
199,0.0933254287374039,0.6100469895211258,1.0,0.9247389657605795
200,0.0799876038804494,0.6034680958110136,1.0,0.9170693189392041
201,0.09999967182664626,0.613079938979294,1.0,0.9282570394914854
202,0.0933250422642031,0.6100449430149115,1.0,0.9247363525121891
203,0.09337495755381336,0.6100326896491174,0.9999999999999999,0.9247176207248227
204,0.08665223273720679,0.6143208382867636,1.0,0.9306099889342164
205,0.07998206941296482,0.6112031168945098,1.0,0.9269558760376612
206,0.07337385535823948,0.6153855667858973,1.0,0.932618319616666
207,0.0800226066815643,0.6111961940678199,1.0,0.9269449593403613
208,0.06001038666725936,0.6088058396287166,1.0,0.924810847341056
209,0.08001696590565185,0.6112026472968891,1.0,0.9269535037538299
210,0.07333593836154353,0.6153790173706806,0.9999999999999998,0.9326116398239596
211,0.0600118960767273,0.6087981136375715,1.0,0.9248009898530882
212,0.0533604182643409,0.6129796435040076,0.9999999999999999,0.9303465102619694
213,0.05999365595588002,0.608795767084266,1.0,0.9247987424678422
214,0.05334763136566997,0.6052449781630518,1.0,0.9205593954226439
215,0.03997248882653828,0.6058637960957742,1.0,0.921774206397307
216,0.06004003189866258,0.6087946314065487,0.9999999999999999,0.9247954503315948
217,0.05999448312254457,0.6087955246436634,0.9999999999999999,0.924798402014376
218,0.06667952722714054,0.6121829881455751,0.9999999999999999,0.9288260104700565
219,0.07331300479769015,0.6153782954437186,1.0,0.9326117382357973
220,0.05333484629366925,0.605248058916218,1.0,0.9205637637478362
221,0.05334757668762238,0.6052385350207022,1.0,0.9205512526551726
222,0.026644524457959062,0.5892467608589206,1.0,0.9012366902840926
223,0.026643356568704146,0.5892389151840343,1.0,0.901226884228024
224,0.026650871193815873,0.5892396605496251,1.0,0.9012276544190045
225,0.02667220117964275,0.5892338050250162,1.0,0.901219851468141
226,0.053334409408402506,0.6052494475999668,0.9999999999999999,0.9205655353757255
227,0.05334028442416891,0.6052408977998223,1.0,0.9205545098012587
228,0.05999305093768764,0.6087903209492226,1.0,0.924791860514429
229,0.0666729934985226,0.6044471645011994,1.0,0.9189932074662943
230,0.0733289825353243,0.5999050191172105,0.9999999999999998,0.9128905502690834
231,0.07333351791192341,0.5999063724196351,0.9999999999999999,0.9128920308071484
232,0.06667344057006927,0.5961666121137752,1.0,0.9084881928669718
233,0.0266527654339766,0.5799135940011719,1.0,0.8895453244688893
234,0.013322203054002946,0.580169539674352,0.9999999999999999,0.8901010806729487
235,0.006661930259482474,0.5652452713607901,1.0,0.8715073817098629
236,0.013327557449219624,0.5599187207303711,1.0,0.864780803672237
237,0.006647179853098928,0.5652463498093562,0.9999999999999999,0.871508826679247
238,5.142560676352215e-06,0.5703999729143923,1.0,0.8779708951919193
239,4.0240635681143555e-06,0.570389057345497,0.9999999999999999,0.877957255076377
240,0.006675121200702322,0.5652437758083562,1.0,0.8715054254862912
241,0.14667427771135919,0.5148483381301081,0.9999999999999999,0.7939033147840633
242,0.0066846318157499085,0.5316322925196568,1.0,0.829441127743389
243,0.019991570043437684,0.519189032603388,1.0,0.8135868110854823
244,0.01333715588188139,0.5255064442499144,1.0,0.8216708564744996
245,0.019978888305188514,0.5063991605311899,1.0,0.7974755495447237
246,0.01331635108645951,0.49991109191278427,1.0,0.789447595219925
247,0.013316320022817713,0.4999202114154132,1.0,0.7894591099757157
248,0.006674406180556924,0.506571567094957,1.0,0.7979443582338632
249,3.7032290509109167e-06,0.5130507410184676,1.0,0.8061330997798721
250,8.448782537973099e-06,0.5130452549075682,0.9999999999999999,0.8061261976715309
251,7.414966148366897e-06,0.5130821998064591,1.0,0.8061726778571623
252,0.006660202320516118,0.5065630216859223,0.9999999999999999,0.7979337247015915
253,0.013353856230721217,0.5129770689507316,0.9999999999999999,0.8059184165826638
254,0.03333438775842967,0.5188253220809601,1.0,0.8126584105236726
255,0.033333947480286785,0.518834964038586,1.0,0.8126705866864812
256,0.039992552811759674,0.5247833976955805,0.9999999999999999,0.8198540887954442
257,0.04667048720293865,0.5305907356668139,1.0,0.8268173356801576
258,0.04667577272771989,0.5305858826561539,0.9999999999999999,0.8268109065360834
259,0.053344265205552355,0.5241741821670582,0.9999999999999999,0.8182870065749722
260,0.05334850537456953,0.524163654133974,1.0,0.8182733878661937
261,0.06667732705534252,0.5233749777622624,0.9999999999999999,0.816245783290863
262,0.06668098756811808,0.5353824133162506,0.9999999999999999,0.8315050493144495
263,0.07331860963746312,0.5406968653364211,1.0,0.8377121899256776
264,0.09333731696909392,0.5556296969143406,1.0,0.8549507819893133
265,0.09330717153544996,0.5660551379292122,0.9999999999999999,0.8683119807580104
266,0.0666430630301873,0.5353761602881703,1.0,0.8315001326470368
267,0.05998791954769234,0.529880381916984,1.0,0.8250413577118548
268,0.060002446775923424,0.5298715616828146,1.0,0.8250290994510724
269,0.053318227679110874,0.5241608963520393,1.0,0.8182719654320125
270,0.0533359546738188,0.5241909733604566,1.0,0.8183088326802158
271,0.06669030526690622,0.5353805182921658,1.0,0.831501901065325
272,0.06666734951833003,0.5353608448438562,1.0,0.8314787554886526
273,0.053326290552379585,0.5241818336746696,0.9999999999999999,0.8182979218507986
274,0.053333790614490006,0.5241697054536771,1.0,0.8182820547104497
275,0.05335217886372501,0.5241984125924632,0.9999999999999999,0.8183171422995205
276,0.053326731328758814,0.5241713873469714,1.0,0.8182846663833299
277,0.046693037630927026,0.5305590421643892,1.0,0.8267760376148262
278,0.046665056904099445,0.5305667602392502,0.9999999999999999,0.8267873901189773
279,0.006667375791243824,0.5316516809675811,0.9999999999999999,0.8294655816968315
280,0.026658229069601885,0.5372601467057477,1.0,0.8360999108558129
281,0.026665650387038387,0.5372828503220008,0.9999999999999999,0.8361281769402207
282,0.02667942564719461,0.537251409725626,1.0,0.8360882719627533
283,0.02001283736675341,0.5432079570446603,0.9999999999999999,0.8437409069587201
284,0.02003215872964162,0.5432042698074191,0.9999999999999998,0.8437358432268768
285,0.020004973417564215,0.5431964027336298,0.9999999999999999,0.8437266065204292
286,0.013339506612928098,0.5375070054757835,0.9999999999999999,0.8367255519585338
287,0.01331277224525726,0.5375073520331402,1.0,0.8367264087964651
288,0.006644731609868421,0.5316335255022389,0.9999999999999999,0.8294430006422395
289,0.006678862155234527,0.5316399160407166,0.9999999999999999,0.8294507347404108
290,0.006677484943181072,0.5316380410999306,1.0,0.8294483949347493
291,0.006666685164430475,0.5316259942159451,1.0,0.8294333771171178
292,0.013339468818401257,0.5375169416837262,1.0,0.8367380062736115
293,0.019996108285838615,0.5431903763253824,1.0,0.8437192568016213
294,0.01998638130669453,0.5432128276001043,1.0,0.8437476164296003
295,0.019998016424531168,0.5431782055349218,0.9999999999999999,0.8437039600208668
296,0.019992609892822755,0.5431910811864696,1.0,0.8437202202201254
297,0.026670799325081596,0.5372420174570431,1.0,0.8360767544693377
298,0.09999489348536322,0.5800029788499772,1.0,0.8856237272934159
299,0.10668687440114846,0.5839139189896447,1.0,0.8900843393921034
300,0.10001938319169554,0.5799891098243664,1.0,0.885603805211319
301,0.08666600552049161,0.5812346374647595,0.9999999999999999,0.8882628226619134
302,0.07999183656969652,0.5770733599945201,1.0,0.8834426423760094
303,0.09331961125475194,0.5852339861310317,1.0,0.892877682915705
304,0.10665777874827403,0.5839173053632377,0.9999999999999999,0.8900912553923213
305,0.12000589826115537,0.5824102669655907,1.0,0.8868969001646372
306,0.13335684107945547,0.5807097616118042,1.0,0.8832839767247282
307,0.14000724820927607,0.5752041518257187,1.0,0.8752627350572739
308,0.13333976947883755,0.5713809469872808,0.9999999999999999,0.8710196225426595
309,0.11999589566464733,0.5730670060121432,1.0,0.8747323115716755
310,0.10667820391153021,0.5745820392784974,1.0,0.8780391050728205
311,0.1000012251594542,0.5799999657004132,1.0,0.8856193128721934
312,0.08665295657189892,0.5812458262217899,1.0,0.8882780714550395
313,0.07332120950510518,0.5727173717475346,0.9999999999999999,0.8783702879578571
314,0.0733393079876678,0.5727195866714567,0.9999999999999999,0.878371875735387
315,0.0733433391780875,0.5727025120750292,1.0,0.8783499412088488
316,0.07996199222295769,0.577063211240964,1.0,0.8834318446439049
317,0.060028637017079334,0.5736013126362103,1.0,0.880304633183121
318,0.053336714566887544,0.578849241464124,1.0,0.8872647165785233
319,0.05333021197534399,0.5788378454473533,1.0,0.8872506669856814
320,0.05334202502339708,0.578840631223398,1.0,0.8872536189386111
321,0.03997414789915904,0.5794670584905652,0.9999999999999999,0.8885931134615958
322,0.04664112344194127,0.5839104526790045,0.9999999999999999,0.8939259623289372
323,0.04665352470572748,0.5839167522545308,1.0,0.8939333932917803
324,0.04666708205545039,0.5839061817990452,0.9999999999999999,0.8939195600264533
325,0.04666339427014665,0.5839039599437794,1.0,0.8939169119496366
326,0.05999252109459968,0.5634895701487637,1.0,0.8675417475945291
327,0.05335078389263875,0.5788527418168432,1.0,0.8872684622381551
328,0.06000599445960941,0.5736122727158213,1.0,0.8803197183111988
329,0.05998000520719987,0.5736021793337674,1.0,0.8803084114084527
