run,eps_b,eps_s,mu,alpha,delta,pin,spectral_diag,loglik,n_iter,at_best,degenerate,case
8,10262.488303813525,9303.08719858835,10872.77212001707,0.3051398939144878,0.7221481728312785,0.14498423244252617,0.46442233482811757,-57374.966723775,8,True,False,ig_window_60
9,10262.501513016694,9303.12520881452,10872.740443531076,0.3051398939144875,0.7221481728312785,0.14498354677378672,0.46442233482811757,-57374.96672271188,8,True,False,ig_window_60
10,10262.498845314485,9303.117532346287,10872.746840848646,0.3051398939144875,0.7221481728312785,0.1449836852498289,0.46442233482811757,-57374.96672225732,7,True,False,ig_window_60
11,10262.502382589237,9303.12771106061,10872.738358241164,0.3051398939144875,0.7221481728312785,0.14498350163571874,0.46442233482811757,-57374.96672293396,7,True,False,ig_window_60
12,10262.499702003039,9303.119997517155,10872.744786455794,0.3051398939144875,0.7221481728312785,0.14498364078052473,0.46442233482811757,-57374.966722365796,8,True,False,ig_window_60
13,10262.499089760473,9303.118235753725,10872.746254651864,0.3051398939144875,0.7221481728312785,0.14498367256103611,0.46442233482811757,-57374.966722285266,9,True,False,ig_window_60
14,10262.486941964824,9303.083279795428,10872.775385812552,0.3051398939144875,0.7221481728312785,0.14498430313402538,0.46442233482811757,-57374.96672435635,8,True,False,ig_window_60
15,10262.507234112325,9303.141671608175,10872.726723979526,0.3051398939144875,0.7221481728312785,0.14498324980134167,0.46442233482811757,-57374.966724828235,6,True,False,ig_window_60
16,10262.504321060698,9303.133289127083,10872.733709663575,0.3051398939144875,0.7221481728312785,0.14498340101290833,0.46442233482811757,-57374.96672355645,8,True,False,ig_window_60
17,10262.48532006819,9303.078612701427,10872.77927521822,0.3051398939144878,0.7221481728312785,0.14498438732424224,0.46442233482811757,-57374.96672516394,8,True,False,ig_window_60
18,10262.498476386396,9303.116470734452,10872.747725561283,0.3051398939144875,0.7221481728312785,0.14498370440028585,0.46442233482811757,-57374.96672222129,6,True,False,ig_window_60
19,10262.486704893152,9303.082597609004,10872.77595432471,0.3051398939144875,0.7221481728312785,0.14498431544005796,0.46442233482811757,-57374.9667244663,8,True,False,ig_window_60
20,10262.491459235485,9303.096278487295,10872.76455312316,0.3051398939144875,0.7221481728312785,0.1449840686494312,0.46442233482811757,-57374.966722766505,7,True,False,ig_window_60
21,10262.486778942026,9303.082810688598,10872.77577675105,0.3051398939144875,0.7221481728312785,0.14498431159629266,0.46442233482811757,-57374.96672443144,8,True,False,ig_window_60
22,10262.490318934993,9303.092997209984,10872.767287633362,0.3051398939144875,0.7221481728312785,0.14498412784066236,0.46442233482811757,-57374.96672307627,7,True,False,ig_window_60
23,10262.502430189546,9303.127848033308,10872.738244092609,0.3051398939144875,0.7221481728312785,0.1449834991648658,0.46442233482811757,-57374.96672294666,7,True,False,ig_window_60
24,10262.499749337265,9303.12013372413,10872.744672945355,0.3051398939144875,0.7221481728312785,0.14498363832348266,0.46442233482811757,-57374.96672237318,8,True,False,ig_window_60
25,10262.486813616055,9303.082910464967,10872.77569360064,0.3051398939144875,0.7221481728312785,0.1449843097964162,0.46442233482811757,-57374.96672441545,8,True,False,ig_window_60
26,10262.507400716768,9303.14215102256,10872.726324451367,0.30513989391448776,0.7221481728312783,0.14498324115319036,0.46442233482811757,-57374.966724914215,7,True,False,ig_window_60
27,10262.48735320251,9303.084463153931,10872.77439963977,0.3051398939144875,0.7221481728312785,0.14498428178729927,0.46442233482811757,-57374.96672417112,8,True,False,ig_window_60
28,10262.504455485569,9303.133675942667,10872.733387304173,0.3051398939144875,0.7221481728312785,0.1449833940351395,0.46442233482811757,-57374.966723606754,8,True,False,ig_window_60
29,10262.485264620464,9303.07845314766,10872.77940818519,0.3051398939144878,0.7221481728312785,0.1449843902024508,0.46442233482811757,-57374.96672519366,8,True,False,ig_window_60
30,10262.48532011017,9303.078612822228,10872.779275117551,0.3051398939144878,0.7221481728312785,0.14498438732206317,0.46442233482811757,-57374.966725163256,8,True,False,ig_window_60
31,10262.498645468557,9303.116957278111,10872.747320091683,0.3051398939144875,0.7221481728312785,0.1449836956235057,0.46442233482811757,-57374.9667222365,8,True,False,ig_window_60
32,10262.4925302933,9303.099360515414,10872.761984660889,0.30513989391448776,0.7221481728312783,0.14498401305249178,0.46442233482811757,-57374.96672253027,7,True,False,ig_window_60
33,10262.508211627142,9303.144484466458,10872.724379836123,0.3051398939144875,0.7221481728312785,0.144983199060225,0.46442233482811757,-57374.96672534608,6,True,False,ig_window_60
34,10262.485132494876,9303.078072949278,10872.779725030276,0.3051398939144875,0.7221481728312785,0.14498439706089267,0.46442233482811757,-57374.96672526625,8,True,False,ig_window_60
35,10262.486807431977,9303.082892669958,10872.775708430425,0.3051398939144875,0.7221481728312785,0.14498431011742222,0.46442233482811757,-57374.96672441827,8,True,False,ig_window_60
36,10262.485559030087,9303.079300326966,10872.778702173251,0.3051398939144878,0.7221481728312785,0.14498437492008767,0.46442233482811757,-57374.96672503757,8,True,False,ig_window_60
37,10262.498122584942,9303.115452650423,10872.748573999279,0.3051398939144878,0.7221481728312785,0.14498372276554525,0.46442233482811757,-57374.96672219293,8,True,False,ig_window_60
38,10262.488192253873,9303.08687756942,10872.772387543871,0.3051398939144878,0.7221481728312785,0.14498423823341774,0.46442233482811757,-57374.96672381936,9,True,False,ig_window_60
39,10262.492564610522,9303.09945926512,10872.761902366086,0.3051398939144875,0.7221481728312785,0.14498401127113847,0.46442233482811757,-57374.96672252413,9,True,False,ig_window_60
40,10262.504097977448,9303.132647191753,10872.734244631401,0.3051398939144878,0.7221481728312785,0.1449834125927848,0.46442233482811757,-57374.96672347641,8,True,False,ig_window_60
41,10262.485392361863,9303.07882073031,10872.779101853652,0.3051398939144878,0.7221481728312785,0.14498438357158572,0.46442233482811757,-57374.96672512595,8,True,False,ig_window_60
42,10262.486766786342,9303.082775709972,10872.775805901107,0.3051398939144875,0.7221481728312785,0.14498431222727579,0.46442233482811757,-57374.96672443675,8,True,False,ig_window_60
43,10262.48687969757,9303.083100618067,10872.775535133182,0.3051398939144875,0.7221481728312785,0.1449843063662245,0.46442233482811757,-57374.96672438454,8,True,False,ig_window_60
44,10262.485428320679,9303.078924203706,10872.779015622255,0.3051398939144875,0.7221481728312785,0.14498438170501726,0.46442233482811757,-57374.966725106744,8,True,False,ig_window_60
45,10262.508276966626,9303.144672484805,10872.724223147832,0.30513989391448776,0.7221481728312783,0.14498319566856496,0.46442233482811757,-57374.96672538307,8,True,False,ig_window_60
46,10262.489654074749,9303.09108403831,10872.76888200871,0.3051398939144875,0.7221481728312785,0.14498416235253317,0.46442233482811757,-57374.9667232857,8,True,False,ig_window_60
47,10262.488154712653,9303.086769542533,10872.77247756999,0.3051398939144875,0.7221481728312785,0.14498424018212513,0.46442233482811757,-57374.96672383439,9,True,False,ig_window_60
48,10262.499397741318,9303.119121986423,10872.745516094488,0.3051398939144875,0.7221481728312785,0.14498365657425305,0.46442233482811757,-57374.96672232409,7,True,False,ig_window_60
49,10262.49941426468,9303.119169533347,10872.745476470436,0.3051398939144875,0.7221481728312785,0.14498365571655247,0.46442233482811757,-57374.966722325786,9,True,False,ig_window_60
0,10000.736033745507,10000.55399927286,5001.103297812965,0.5203043243170797,0.5048058328200705,0.11511973056349603,0.4967857633995636,-65609.08752154394,10,True,False,clean_full_series
1,10000.734141761213,10000.55206543988,5001.105210930814,0.5203043243170795,0.5048058328200706,0.11511978901669165,0.49678576339956354,-65609.08751779233,9,True,False,clean_full_series
2,10000.734104429486,10000.55202728241,5001.10524867954,0.5203043243170797,0.5048058328200702,0.11511979017006232,0.4967857633995636,-65609.08751773431,10,True,False,clean_full_series
3,10000.738737712067,10000.556763048282,5001.100563642978,0.5203043243170797,0.5048058328200705,0.1151196470239876,0.4967857633995636,-65609.0875316476,10,True,False,clean_full_series
4,10000.729163212467,10000.546976770871,5001.110245090205,0.5203043243170797,0.5048058328200704,0.11511994282992279,0.4967857633995636,-65609.08752076222,9,True,False,clean_full_series
5,10000.73491560587,10000.552856401158,5001.104428442276,0.5203043243170795,0.5048058328200704,0.11511976510861979,0.4967857633995636,-65609.08751905823,9,True,False,clean_full_series
6,10000.737662948119,10000.555664511701,5001.101650412087,0.5203043243170796,0.5048058328200705,0.11511968022899963,0.4967857633995636,-65609.08752696142,9,True,False,clean_full_series
7,10000.737261145527,10000.555253821662,5001.102056702833,0.5203043243170796,0.5048058328200706,0.11511969264275917,0.4967857633995636,-65609.0875253812,9,True,False,clean_full_series
8,10000.736400916227,10000.554374565007,5001.1029265409325,0.5203043243170795,0.5048058328200705,0.11511971921969218,0.4967857633995636,-65609.0875226131,9,True,False,clean_full_series
9,10000.735282383435,10000.553231291457,5001.104057567786,0.5203043243170796,0.5048058328200704,0.11511975377696082,0.4967857633995636,-65609.08751975631,11,True,False,clean_full_series
10,10000.72874299851,10000.54654726222,5001.1106699979755,0.5203043243170793,0.5048058328200703,0.11511995581251927,0.49678576339956376,-65609.08752185461,9,True,False,clean_full_series
11,10000.72879588393,10000.54660131741,5001.110616521824,0.5203043243170795,0.5048058328200703,0.1151199541786134,0.49678576339956376,-65609.08752174201,8,True,False,clean_full_series
12,10000.73919504937,10000.5572305014,5001.100101197197,0.5203043243170797,0.5048058328200704,0.1151196328944765,0.4967857633995636,-65609.08753387576,9,True,False,clean_full_series
13,10000.736182502902,10000.554151320612,5001.103147393943,0.5203043243170797,0.5048058328200705,0.11511972596761012,0.4967857633995636,-65609.08752202812,10,True,False,clean_full_series
14,10000.734336101092,10000.55226407835,5001.105014420149,0.5203043243170797,0.5048058328200704,0.11511978301252546,0.4967857633995636,-65609.0875179969,9,True,False,clean_full_series
15,10000.728580020723,10000.546380679534,5001.110834796235,0.5203043243170795,0.5048058328200705,0.11511996084775178,0.4967857633995636,-65609.0875222696,9,True,False,clean_full_series
16,10000.728416943191,10000.5462139949,5001.110999695351,0.5203043243170795,0.5048058328200704,0.11511996588606589,0.4967857633995636,-65609.08752281434,8,True,False,clean_full_series
17,11288.5224,11314.3362,0.0,2.400475048838139e-06,0.5,0.0,0.5555552888354655,-2064525.524543407,3,False,True,clean_full_series
18,10000.726077169144,10000.54382246749,5001.113365604805,0.5203043243170797,0.5048058328200706,0.11512003817388235,0.4967857633995636,-65609.0875319805,9,True,False,clean_full_series
19,10000.734104232652,10000.552027081223,5001.105248878573,0.5203043243170797,0.5048058328200702,0.11511979017614356,0.4967857633995636,-65609.08751772656,10,True,False,clean_full_series
20,10000.730588649252,10000.548433736823,5001.108803731217,0.5203043243170797,0.5048058328200705,0.1151198987907659,0.49678576339956354,-65609.08751801863,9,True,False,clean_full_series
21,10000.734719841794,10000.552656306989,5001.104626393045,0.5203043243170795,0.5048058328200704,0.1151197711567864,0.49678576339956376,-65609.08751864571,9,True,False,clean_full_series
22,10000.730274679372,10000.548112822258,5001.109121208155,0.5203043243170796,0.5048058328200704,0.11511990849092786,0.4967857633995636,-65609.08751848368,8,True,False,clean_full_series
23,10000.729672663425,10000.54749749035,5001.109729948655,0.5203043243170796,0.5048058328200704,0.11511992709033175,0.4967857633995636,-65609.08751959522,8,True,False,clean_full_series
24,10000.734358184556,10000.552286650276,5001.104992090013,0.5203043243170796,0.5048058328200704,0.11511978233025279,0.4967857633995636,-65609.08751811132,9,True,False,clean_full_series
25,10000.738502789582,10000.55652292956,5001.100801189558,0.5203043243170795,0.5048058328200705,0.11511965428195664,0.4967857633995636,-65609.08753052879,9,True,False,clean_full_series
26,10000.730692387284,10000.548539769432,5001.108698834424,0.5203043243170797,0.5048058328200707,0.11511989558575877,0.4967857633995636,-65609.08751783418,9,True,False,clean_full_series
27,10000.737925671223,10000.55593304596,5001.1013847543545,0.5203043243170795,0.5048058328200704,0.1151196721121249,0.4967857633995636,-65609.08752807911,9,True,False,clean_full_series
28,10000.737091030342,10000.555079943711,5001.10222871821,0.5203043243170795,0.5048058328200705,0.11511969789849695,0.4967857633995636,-65609.08752488208,8,True,False,clean_full_series
29,11288.5224,11314.3362,0.0,2.4004750488381355e-06,0.5,0.0,0.5555552888354655,-2064525.524543407,3,False,True,clean_full_series
